1,ХљРђ27ФNНСР®Т≤НЄБ@ПђТnИжПWМvБ@БiСНЦ±П»УЭМvЛ«Бj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Сж3Х\Б@ФNЧоБi5НќКKЛЙБjБCТjПЧХ РlМыБCСНФNЧоЛyВ—ХљЛѕФNЧо(КOНСРlБ\УЅМfБjБ|ТђТЪБEОЪУЩ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,1) УъЦ{РlБEКOНСРlВћХ БuХsПЏБvВрК№ВёБB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,2) Ц≥НСР–ЛyВ—НСЦЉБuХsПЏБvВрК№ВёБB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,СНРФБiТjПЧХ Бj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Тj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ПЧ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ОsЛжТђСЇГRБ[Гh,ТђТЪОЪГRБ[Гh,ТnИжОѓХ Ф‘НЖ,ФйУљПИЧЭ,ФйУљРжПоХс,НЗОZТnИж,УsУєХ{МІЦЉ,ОsЛжТђСЇЦЉ,СеОЪБEТђЦЉ,ОЪБEТЪЦЏЦЉ,СНРФБiФNЧоБj 1),0Б`4Нќ,5Б`9Нќ,10Б`14Нќ,15Б`19Нќ,20Б`24Нќ,25Б`29Нќ,30Б`34Нќ,35Б`39Нќ,40Б`44Нќ,45Б`49Нќ,50Б`54Нќ,55Б`59Нќ,60Б`64Нќ,65Б`69Нќ,70Б`74Нќ,75Б`79Нќ,80Б`84Нќ,85Б`89Нќ,90Б`94Нќ,95Б`99Нќ,100НќИ»Пг,ФNЧоБuХsПЏБv,СНФNЧо,ХљЛѕФNЧо,БiНƒМfБj15НќЦҐЦЮ,БiНƒМfБj15Б`64Нќ,БiНƒМfБj65НќИ»Пг,БiНƒМfБj75НќИ»Пг,БiНƒМfБj85НќИ»Пг,БiНƒМfБjКOНСРl 2),СНРФБiФNЧоБj 1),0Б`4Нќ,5Б`9Нќ,10Б`14Нќ,15Б`19Нќ,20Б`24Нќ,25Б`29Нќ,30Б`34Нќ,35Б`39Нќ,40Б`44Нќ,45Б`49Нќ,50Б`54Нќ,55Б`59Нќ,60Б`64Нќ,65Б`69Нќ,70Б`74Нќ,75Б`79Нќ,80Б`84Нќ,85Б`89Нќ,90Б`94Нќ,95Б`99Нќ,100НќИ»Пг,ФNЧоБuХsПЏБv,СНФNЧо,ХљЛѕФNЧо,БiНƒМfБj15НќЦҐЦЮ,БiНƒМfБj15Б`64Нќ,БiНƒМfБj65НќИ»Пг,БiНƒМfБj75НќИ»Пг,БiНƒМfБj85НќИ»Пг,БiНƒМfБjКOНСРl 2),СНРФБiФNЧоБj 1),0Б`4Нќ,5Б`9Нќ,10Б`14Нќ,15Б`19Нќ,20Б`24Нќ,25Б`29Нќ,30Б`34Нќ,35Б`39Нќ,40Б`44Нќ,45Б`49Нќ,50Б`54Нќ,55Б`59Нќ,60Б`64Нќ,65Б`69Нќ,70Б`74Нќ,75Б`79Нќ,80Б`84Нќ,85Б`89Нќ,90Б`94Нќ,95Б`99Нќ,100НќИ»Пг,ФNЧоБuХsПЏБv,СНФNЧо,ХљЛѕФNЧо,БiНƒМfБj15НќЦҐЦЮ,БiНƒМfБj15Б`64Нќ,БiНƒМfБj65НќИ»Пг,БiНƒМfБj75НќИ»Пг,БiНƒМfБj85НќИ»Пг,БiНƒМfБjКOНСРl 2)
7,"44201","","1","","","","СеХ™МІ","СеХ™Оs","","",478146,21218,22261,22637,23769,21737,24350,28172,33054,36406,30049,28312,29817,33558,36105,26337,20279,16589,10778,4806,1252,208,6452,21076984,45.1835957210,66116,289224,116354,53912,17044,2127,229844,10776,11336,11610,12169,11249,12214,13800,16484,17967,14504,13488,14193,16000,17282,12281,8985,6665,3633,1167,243,29,3769,9740137,43.5836536548,33722,142068,50285,20722,5072,1002,248302,10442,10925,11027,11600,10488,12136,14372,16570,18439,15545,14824,15624,17558,18823,14056,11294,9924,7145,3639,1009,179,2683,11336847,46.6562297705,32394,147156,66069,33190,11972,1125
8,"44201","0011","2","","","","СеХ™МІ","СеХ™Оs","ШZЦVЦkТђ","",554,9,11,10,48,46,30,31,17,33,38,27,44,40,49,25,32,25,10,6,3,-,20,25378,48.0243445693,30,354,150,76,19,2,252,4,5,2,13,14,15,19,6,18,18,11,24,18,28,12,12,14,3,-,2,-,14,11754,49.8865546218,11,156,71,31,5,-,302,5,6,8,35,32,15,12,11,15,20,16,20,22,21,13,20,11,7,6,1,-,6,13624,46.5270270270,19,198,79,45,14,2
9,"44201","0012","2","","","","СеХ™МІ","СеХ™Оs","ШZЦVУмТђ","",273,10,4,9,16,16,18,17,13,15,15,15,16,12,29,17,11,19,10,5,-,-,6,12988,49.1441947566,23,153,91,45,15,-,132,2,2,3,2,6,7,8,8,8,7,9,9,6,18,12,5,10,5,1,-,-,4,6791,53.5546875000,7,70,51,21,6,-,141,8,2,6,14,10,11,9,5,7,8,6,7,6,11,5,6,9,5,4,-,-,2,6197,45.0827338129,16,83,40,24,9,-
10,"44201","0014","2","НЗОZТnИжВ†Ви","","001403;001405","СеХ™МІ","СеХ™Оs","СеОЪСеХ™","",413,3,2,1,-,2,4,5,13,15,12,20,27,71,76,53,55,36,15,1,-,-,2,26503,64.9841849148,6,169,236,107,16,-,242,3,2,1,-,2,1,4,8,9,8,15,15,53,43,34,19,18,5,-,-,-,2,14912,62.6333333333,6,115,119,42,5,-,171,-,-,-,-,-,3,1,5,6,4,5,12,18,33,19,36,18,10,1,-,-,-,11591,68.2836257310,-,54,117,65,11,-
11,"44201","001402","3","","","","СеХ™МІ","СеХ™Оs","СеОЪСеХ™","БiВїВћВQБj",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,"44201","001403","3","ФйУљТnИж","0014","","СеХ™МІ","СеХ™Оs","СеОЪСеХ™","БiВїВћВRБj",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
13,"44201","001405","3","ФйУљТnИж","0014","","СеХ™МІ","СеХ™Оs","СеОЪСеХ™","БiВїВћВTБj",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
14,"44201","0020","2","","","","СеХ™МІ","СеХ™Оs","СеОЪР®Й∆","",1679,46,65,57,93,72,76,72,124,97,88,103,115,120,163,110,106,82,38,25,3,-,24,80501,49.1410876133,168,960,527,254,66,3,779,21,31,30,33,30,30,37,57,50,41,46,56,61,80,56,44,38,12,8,1,-,17,37125,49.2204724409,82,441,239,103,21,2,900,25,34,27,60,42,46,35,67,47,47,57,59,59,83,54,62,44,26,17,2,-,7,43376,49.0733482643,86,519,288,151,45,1
15,"44201","002003","3","","","","СеХ™МІ","СеХ™Оs","СеОЪР®Й∆","БiВїВћВRБj",478,16,14,19,52,27,23,19,32,29,22,24,32,32,34,21,29,24,10,6,1,-,12,20988,45.5386266094,49,292,125,70,17,2,218,8,6,10,12,16,11,10,17,11,12,10,14,15,16,10,12,14,3,1,-,-,10,9462,45.9903846154,24,128,56,30,4,2,260,8,8,9,40,11,12,9,15,18,10,14,18,17,18,11,17,10,7,5,1,-,2,11526,45.1744186047,25,164,69,40,13,-
16,"44201","002004","3","","","","СеХ™МІ","СеХ™Оs","СеОЪР®Й∆","БiВїВћВSБj",476,2,15,12,17,26,31,20,29,32,15,41,26,44,53,33,32,25,10,6,1,-,6,24024,51.6148936170,29,281,160,74,17,1,222,1,6,7,6,6,11,9,15,16,4,23,12,24,29,20,14,10,3,3,-,-,3,11555,53.2625570776,14,126,79,30,6,-,254,1,9,5,11,20,20,11,14,16,11,18,14,20,24,13,18,15,7,3,1,-,3,12469,50.1772908367,15,155,81,44,11,1
