1,ïΩê¨27îNçëê®í≤ç∏Å@è¨ínàÊèWåvÅ@Åiëçñ±è»ìùåvã«Åj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ëÊ3ï\Å@îNóÓÅi5çŒäKãâÅjÅCíjèóï êlå˚ÅCëçîNóÓãyÇ—ïΩãœîNóÓ(äOçëêlÅ\ì¡åfÅjÅ|í¨íöÅEéöìô,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,1) ì˙ñ{êlÅEäOçëêlÇÃï Åuïsè⁄ÅvÇä‹ÇﬁÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,2) ñ≥çëê–ãyÇ—çëñºÅuïsè⁄ÅvÇä‹ÇﬁÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,ëçêîÅiíjèóï Åj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,íj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,èó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ésãÊí¨ë∫ÉRÅ[Éh,í¨íöéöÉRÅ[Éh,ínàÊéØï î‘çÜ,îÈìΩèàóù,îÈìΩêÊèÓïÒ,çáéZínàÊ,ìsìπï{åßñº,ésãÊí¨ë∫ñº,ëÂéöÅEí¨ñº,éöÅEíöñ⁄ñº,ëçêîÅiîNóÓÅj 1),0Å`4çŒ,5Å`9çŒ,10Å`14çŒ,15Å`19çŒ,20Å`24çŒ,25Å`29çŒ,30Å`34çŒ,35Å`39çŒ,40Å`44çŒ,45Å`49çŒ,50Å`54çŒ,55Å`59çŒ,60Å`64çŒ,65Å`69çŒ,70Å`74çŒ,75Å`79çŒ,80Å`84çŒ,85Å`89çŒ,90Å`94çŒ,95Å`99çŒ,100çŒà»è„,îNóÓÅuïsè⁄Åv,ëçîNóÓ,ïΩãœîNóÓ,ÅiçƒåfÅj15çŒñ¢ñû,ÅiçƒåfÅj15Å`64çŒ,ÅiçƒåfÅj65çŒà»è„,ÅiçƒåfÅj75çŒà»è„,ÅiçƒåfÅj85çŒà»è„,ÅiçƒåfÅjäOçëêl 2),ëçêîÅiîNóÓÅj 1),0Å`4çŒ,5Å`9çŒ,10Å`14çŒ,15Å`19çŒ,20Å`24çŒ,25Å`29çŒ,30Å`34çŒ,35Å`39çŒ,40Å`44çŒ,45Å`49çŒ,50Å`54çŒ,55Å`59çŒ,60Å`64çŒ,65Å`69çŒ,70Å`74çŒ,75Å`79çŒ,80Å`84çŒ,85Å`89çŒ,90Å`94çŒ,95Å`99çŒ,100çŒà»è„,îNóÓÅuïsè⁄Åv,ëçîNóÓ,ïΩãœîNóÓ,ÅiçƒåfÅj15çŒñ¢ñû,ÅiçƒåfÅj15Å`64çŒ,ÅiçƒåfÅj65çŒà»è„,ÅiçƒåfÅj75çŒà»è„,ÅiçƒåfÅj85çŒà»è„,ÅiçƒåfÅjäOçëêl 2),ëçêîÅiîNóÓÅj 1),0Å`4çŒ,5Å`9çŒ,10Å`14çŒ,15Å`19çŒ,20Å`24çŒ,25Å`29çŒ,30Å`34çŒ,35Å`39çŒ,40Å`44çŒ,45Å`49çŒ,50Å`54çŒ,55Å`59çŒ,60Å`64çŒ,65Å`69çŒ,70Å`74çŒ,75Å`79çŒ,80Å`84çŒ,85Å`89çŒ,90Å`94çŒ,95Å`99çŒ,100çŒà»è„,îNóÓÅuïsè⁄Åv,ëçîNóÓ,ïΩãœîNóÓ,ÅiçƒåfÅj15çŒñ¢ñû,ÅiçƒåfÅj15Å`64çŒ,ÅiçƒåfÅj65çŒà»è„,ÅiçƒåfÅj75çŒà»è„,ÅiçƒåfÅj85çŒà»è„,ÅiçƒåfÅjäOçëêl 2)
7,"45201","","1","","","","ã{çËåß","ã{çËés","","",401138,18053,19000,19220,20777,17510,18611,22131,26144,29081,25070,24686,25425,28638,30260,21673,17872,15095,9741,4347,1250,237,6317,17809742,45.6083959566,56273,238073,100475,48542,15575,1239,188177,9147,9664,9776,10275,8537,8787,10391,12581,13964,11775,11714,12005,13603,14220,9976,7820,5935,3311,990,229,29,3448,8037624,44.0103530036,28587,113632,42510,18314,4559,577,212961,8906,9336,9444,10502,8973,9824,11740,13563,15117,13295,12972,13420,15035,16040,11697,10052,9160,6430,3357,1021,208,2869,9772118,47.0135178874,27686,124441,57965,30228,11016,662
8,"45201","0010","2","","","","ã{çËåß","ã{çËés","ãkí êº","",1123,25,29,32,56,61,60,64,74,99,94,74,67,79,81,66,33,27,12,7,3,1,79,47415,45.9166666667,86,728,230,83,23,5,507,11,14,15,24,23,32,27,37,42,49,38,32,32,38,22,13,11,3,2,-,-,42,20597,44.7946236559,40,336,89,29,5,3,616,14,15,17,32,38,28,37,37,57,45,36,35,47,43,44,20,16,9,5,3,1,37,26818,46.8177892919,46,392,141,54,18,2
9,"45201","001001","3","","","","ã{çËåß","ã{çËés","ãkí êº","ÇPíöñ⁄",285,7,11,9,6,11,10,23,16,23,16,12,23,25,27,21,9,8,6,4,-,-,18,12897,48.8033707865,27,165,75,27,10,4,115,2,6,4,2,3,5,10,9,11,9,3,8,10,11,7,2,1,2,1,-,-,9,4844,46.1981132075,12,70,24,6,3,2,170,5,5,5,4,8,5,13,7,12,7,9,15,15,16,14,7,7,4,3,-,-,9,8053,50.5186335404,15,95,51,21,7,2
10,"45201","001002","3","","","","ã{çËåß","ã{çËés","ãkí êº","ÇQíöñ⁄",222,2,-,2,10,18,12,7,19,14,16,10,9,15,21,23,7,5,3,1,3,1,24,9912,50.5606060606,4,130,64,20,8,-,104,1,-,1,3,8,9,3,9,5,9,5,5,5,10,9,5,3,-,-,-,-,14,4350,48.8333333333,2,61,27,8,-,-,118,1,-,1,7,10,3,4,10,9,7,5,4,10,11,14,2,2,3,1,3,1,10,5562,52.0000000000,2,69,37,12,8,-
11,"45201","001003","3","","","","ã{çËåß","ã{çËés","ãkí êº","ÇRíöñ⁄",14,-,-,-,1,-,-,-,-,-,2,3,1,1,-,3,1,1,-,-,-,-,1,761,59.0384615385,-,8,5,2,-,-,7,-,-,-,1,-,-,-,-,-,-,3,-,1,-,1,1,-,-,-,-,-,-,386,55.6428571429,-,5,2,1,-,-,7,-,-,-,-,-,-,-,-,-,2,-,1,-,-,2,-,1,-,-,-,-,1,375,63.0000000000,-,3,3,1,-,-
12,"45201","001004","3","","","","ã{çËåß","ã{çËés","ãkí êº","ÇSíöñ⁄",43,-,-,2,1,2,2,1,3,3,3,6,1,-,1,1,2,4,1,2,-,-,8,1811,52.2428571429,2,22,11,9,3,-,22,-,-,2,-,2,-,-,2,1,3,3,-,-,-,-,-,3,-,1,-,-,5,817,48.5588235294,2,11,4,4,1,-,21,-,-,-,1,-,2,1,1,2,-,3,1,-,1,1,2,1,1,1,-,-,3,994,55.7222222222,-,11,7,5,2,-
13,"45201","001005","3","","","","ã{çËåß","ã{çËés","ãkí êº","ÇTíöñ⁄",559,16,18,19,38,30,36,33,36,59,57,43,33,38,32,18,14,9,2,-,-,-,28,22034,41.9952919021,53,403,75,25,2,1,259,8,8,8,18,10,18,14,17,25,28,24,19,16,17,5,5,4,1,-,-,-,14,10200,42.1326530612,24,189,32,10,1,1,300,8,10,11,20,20,18,19,19,34,29,19,14,22,15,13,9,5,1,-,-,-,14,11834,41.8776223776,29,214,43,15,1,-
14,"45201","0020","2","","","","ã{çËåß","ã{çËés","ãkí ìå","",2293,61,72,60,114,148,133,123,146,210,178,143,109,138,164,102,72,59,38,32,6,-,185,94395,45.2794117647,193,1442,473,207,76,11,1033,28,29,28,46,69,67,52,69,97,83,73,60,54,69,50,25,22,12,7,2,-,91,41284,44.3259023355,85,670,187,68,21,5,1260,33,43,32,68,79,66,71,77,113,95,70,49,84,95,52,47,37,26,25,4,-,94,53111,46.0497427101,108,772,286,139,55,6
15,"45201","002001","3","","","","ã{çËåß","ã{çËés","ãkí ìå","ÇPíöñ⁄",644,24,32,19,24,38,20,40,52,63,61,38,33,42,44,21,15,9,11,12,3,-,43,26130,43.9775374376,75,411,115,50,26,3,299,13,13,9,10,19,13,17,23,37,22,20,23,14,23,11,6,1,2,2,1,-,20,11694,42.4139784946,35,198,46,12,5,3,345,11,19,10,14,19,7,23,29,26,39,18,10,28,21,10,9,8,9,10,2,-,23,14436,45.3322981366,40,213,69,38,21,-
16,"45201","002002","3","","","","ã{çËåß","ã{çËés","ãkí ìå","ÇQíöñ⁄",173,3,3,2,7,14,10,8,11,11,15,6,12,6,16,5,2,8,7,2,-,-,25,6983,47.6824324324,8,100,40,19,9,4,80,1,-,1,3,6,6,5,6,4,8,3,7,1,8,3,-,2,4,1,-,-,11,3258,47.7173913043,2,49,18,7,5,1,93,2,3,1,4,8,4,3,5,7,7,3,5,5,8,2,2,6,3,1,-,-,14,3725,47.6518987342,6,51,22,12,4,3
